_id,gb,fr,de,it,es,pl,el,ro,bg,da,sv,no,nl
$Dictionary~~0:00,"",0:00,0:00,00:00,0:00,"","",0:00,0:00,"",00:00,"",00:00
$Dictionary~~10:00,"",10h00,10:00,10:00,10:00,"","",10:00,10:00,"",10:00,"",10:00
$Dictionary~~11:00,"",11h00,11:00,11:00,11:00,"","",11:00,11:00,"",11:00,"",11:00
$Dictionary~~12:00,"",12h00,12:00,00:00,12:00,"","",12:00,12:00,"",00:00,"",00:00
$Dictionary~~13:00,"",13h00,13:00,13:00,13:00,"","",13:00,13:00,"",13:00,"",13:00
$Dictionary~~14:00,"",14h00,14:00,14:00,14:00,"","",14:00,14:00,"",14:00,"",14:00
$Dictionary~~15:00,"",15h00,15:00,15:00,15:00,"","",15:00,15:00,"",15:00,"",15:00
$Dictionary~~16:00,"",16h00,16:00,16:00,16:00,"","",16:00,16:00,"",16:00,"",16:00
$Dictionary~~17:00,"",17h00,17:00,17:00,17:00,"","",17:00,17:00,"",17:00,"",17:00
$Dictionary~~18:00,"",18h00,18:00,18:00,18:00,"","",18:00,18:00,"",18:00,"",18:00
$Dictionary~~18:05,"",18h05,18.05,"",18:05,"","",18:05,18:05,"",18:05,"",18:05
$Dictionary~~18:10,"",18h10,18:10,"",18:10,"","",18:10,18:10,"",18:10,"",18:10
$Dictionary~~18:15,"",18h15,18:15,"",18:15,"","",18:15,18:15,"",18:15,"",18:15
$Dictionary~~18:20,"",18h20,18:20,"",18:20,"","",18:20,18:20,"",18:20,"",18:20
$Dictionary~~18:25,"",18h25,18:25,"",18:25,"","",18:25,18:25,"",18:25,"",18:25
$Dictionary~~18:30,"",18h30,18:30,"",18:30,"","",18:30,18:30,"",18:30,"",18:30
$Dictionary~~18:35,"",18h35,18:35,"",18:35,"","",18:35,18:35,"",18:35,"",18:35
$Dictionary~~18:40,"",18h40,18:40,"",18:40,"","",18:40,18:40,"",18:40,"",18:40
$Dictionary~~18:45,"",18h45,18:45,"",18:45,"","",18:45,18:45,"",18:45,"",18:45
$Dictionary~~18:50,"",18h50,18:50,"",18:50,"","",18:50,18:50,"",18:50,"",18:50
$Dictionary~~18:55,"",18h55,18:55,"",18:55,"","",18:55,18:55,"",18:55,"",18:55
$Dictionary~~19:00,"",19h00,19:00,19:00,19:00,"","",19:00,19:00,"",19:00,"",19:00
$Dictionary~~1:00,"",1h00,1:00,01:00,1:00,"","",1:00,01:00,"",01:00,"",01:00
$Dictionary~~2009,"",2009,2009,2009,2009,"","",2009,2009,"",2009,"",2009
$Dictionary~~2010,"",2010,2010,2010,2010,"","",2010,2010,"",2010,"",2010
$Dictionary~~2011,"",2011,2011,2011,2011,"","",2011,2011,"",2011,"",2011
$Dictionary~~2012,"",2012,2012,2012,2012,"","",2012,2012,"",2012,"",2012
$Dictionary~~2013,"",2013,2013,2013,2013,"","",2013,2013,"",2013,"",2013
$Dictionary~~2014,"",2014,2014,2014,2014,"","",2014,2014,"",2014,"",2014
$Dictionary~~2015,"",2015,2015,2015,2015,"","",2015,2015,"",2015,"",2015
$Dictionary~~2016,"",2016,2016,2016,2016,"","",2016,2016,"",2016,"",2016
$Dictionary~~2017,"",2017,2017,2017,2017,"","",2017,2017,"",2017,"",2017
$Dictionary~~2018,"",2018,2018,2018,2018,"","",2018,2018,"",2018,"",2018
$Dictionary~~2019,"",2019,2019,2019,2019,"","",2019,2019,"",2019,"",2019
$Dictionary~~2020,"",2020,2020,2020,2020,"","",2020,2020,"",2020,"",2020
$Dictionary~~20:00,"",20h00,20:00,20:00,20:00,"","",20:00,20:00,"",20:00,"",20:00
$Dictionary~~21:00,"",21h00,21:00,21:00,21:00,"","",21:00,21:00,"",21:00,"",21:00
$Dictionary~~22:00,"",22h00,22:00,22:00,22:00,"","",22:00,22:00,"",22:00,"",22:00
$Dictionary~~23:00,"",23h00,23:00,23:00,23:00,"","",23:00,23:00,"",23:00,"",23:00
$Dictionary~~2:00,"",2:00,2:00,02:00,2:00,"","",2:00,02:00,"",02:00,"",02:00
"$Dictionary~~31st January,2018","",31 janvier 2018,31. Januar 2018,31 gennaio 2018,31 de enero de 2018,31 stycznia 2018 r,31 Ιανουαρίου 2018,31 ianuarie 2018,31 януари 2018 г.,"",31 januari 2018,"",31 januari 2018
$Dictionary~~3:00,"",15h00,3:00,03:00,3:00,"","",3:00,03:00,"",03:00,"",03:00
$Dictionary~~4:00,"",4h00,4:00,04:00,4:00,"","",04:00,04:00,"",04:00,"",04:00
$Dictionary~~5:00,"",5h00,5:00,05:00,5:00,"","",5:00,05:00,"",05:00,"",05:00
$Dictionary~~6:00,"",6h00,6:00,06:00,6:00,"","",06:00,06:00,"",06:00,"",06:00
$Dictionary~~7:00,"",7h00,7:00,07:00,7:00,"","",07:00,07:00,"",07:00,"",07:00
$Dictionary~~8:00,"",8h00,8:00,08:00,8:00,"","",8:00,08:00,"",08:00,"",08:00
$Dictionary~~9:00,"",9h00,9:00,09:00,9:00,"","",09:00,09:00,"",09:00,"",09:00
"$Dictionary~~<i class=""lnr lnr-bicycle""></i>Sports CLub","","<i class=""lnr lnr-bicycle""></i> Club de sport","<i class=""lnr lnr-bicycle""></i> Sportclub","<i class=""lnr lnr-bicycle""></i> Club sportivo","<i class=""lnr lnr-bicycle""></i> Club de Deportes","<i class=""lnr lnr-bicycle""></i> Klub Sportowy","<i class=""lnr lnr-bicycle""></i> Αθλητικός όμιλος","<i class=""lnr lnr-bicycle""></i> Club sportiv","<i class=""lnr lnr-bicycle""></i> Спортен клуб","","<i class=""lnr lnr-bicycle""></i> Sportklubb","","<i class=""lnr lnr-bicycle""></i> Sportclub"
"$Dictionary~~<i class=""lnr lnr-car""></i>Rent a Car","","<i class=""lnr lnr-car""></i> Louer une voiture","<i class=""lnr lnr-car""></i> Autovermietungen","<i class=""lnr lnr-car""></i> Affittare una macchina","<i class=""lnr lnr-car""></i> Alquilar un coche","<i class=""lnr lnr-car""></i> Wypożyczyć auto","<i class=""lnr lnr-car""></i> Νοικιάσετε ένα αυτοκίνητο","<i class=""lnr lnr-car""></i> Închiriază o mașină","<i class=""lnr lnr-car""></i> Коли под наем","","<i class=""lnr lnr-car""></i> Hyra en bil","","<i class=""lnr lnr-car""></i> Huur een auto"
"$Dictionary~~<i class=""lnr lnr-coffee-cup""></i>Bar","","<i class=""lnr lnr-coffee-cup""></i> Bar","<i class=""lnr lnr-coffee-cup""></i> Bar","<i class=""lnr lnr-coffee-cup""></i> Bar","<i class=""lnr lnr-coffee-cup""></i> Bar","<i class=""lnr lnr-coffee-cup""></i> Bar","<i class=""lnr lnr-coffee-cup""></i> Μπαρ","<i class=""lnr lnr-coffee-cup""></i> Bar","<i class=""lnr lnr-coffee-cup""></i> бар","","<i class=""lnr lnr-coffee-cup""></i> Bar","","<i class=""lnr lnr-coffee-cup""></i> Bar"
"$Dictionary~~<i class=""lnr lnr-construction""></i>Gymnesium","","<i class=""lnr lnr-construction""></i> Gymnase","<i class=""lnr lnr-construction""></i> Turnhalle","<i class=""lnr lnr-construction""></i> Gymnesium","<i class=""lnr lnr-construction""></i> Gymnesium","<i class=""lnr lnr-construction""></i> Gymnesium","<i class=""lnr lnr-construction""></i> Γυμνόζη","<i class=""lnr lnr-construction""></i> Gymnesium","<i class=""lnr lnr-construction""></i> Gymnesium","","<i class=""lnr lnr-construction""></i> Gymnesium","","<i class=""lnr lnr-construction""></i> Gymnesium"
"$Dictionary~~<i class=""lnr lnr-dinner""></i>Restaurant","","<i class=""lnr lnr-dinner""></i> Restaurant","<i class=""lnr lnr-dinner""></i> Restaurant","<i class=""lnr lnr-dinner""></i> Ristorante","<i class=""lnr lnr-dinner""></i> Restaurante","<i class=""lnr lnr-dinner""></i> Restauracja","<i class=""lnr lnr-dinner""></i> Εστιατόριο","<i class=""lnr lnr-dinner""></i> Restaurant","<i class=""lnr lnr-dinner""></i> Ресторант","","<i class=""lnr lnr-dinner""></i> Restaurang","","<i class=""lnr lnr-dinner""></i> Restaurant"
"$Dictionary~~<i class=""lnr lnr-shirt""></i>Swimming Pool","","<i class=""lnr lnr-shirt""></i> Piscine","<i class=""lnr lnr-shirt""></i> Schwimmbad","<i class=""lnr lnr-shirt""></i> Piscina","<i class=""lnr lnr-shirt""></i> Piscina","<i class=""lnr lnr-shirt""></i> Basen","<i class=""lnr lnr-shirt""></i> Πισίνα","<i class=""lnr lnr-shirt""></i> Piscina","<i class=""lnr lnr-shirt""></i> Басейн","","<i class=""lnr lnr-shirt""></i> Simbassäng","","<i class=""lnr lnr-shirt""></i> Zwembad"
$Dictionary~~About Agency,"",A propos de l&#39;agence,Über die Agentur,Informazioni sull&#39;agenzia,Acerca de Agencia,O agencji,Σχετικά με τον Οργανισμό,Despre agenție,За Агенцията,"",Om byrån,"",Over Agentschap
$Dictionary~~About Us <br>Our History<br>Mission &amp; Vision,"",À propos de nous <br> Notre histoire <br> La vision de la mission,Über uns <br> Unsere Geschichte <br> Mission &amp; Vision,Riguardo a noi <br> La nostra storia <br> Visione della missione,Sobre nosotros <br> Nuestra historia <br> Misión Visión,O nas <br> Nasza historia <br> Misja i wizja,Σχετικά με εμάς <br> Η ιστορία μας <br> Αποστολή &amp; Όραμα,Despre noi <br> Istoria noastra <br> Misiunea și viziunea,За нас <br> Нашата история <br> Мисия и визия,"",Om oss <br> Vår historia <br> Mission &amp; Vision,"",Over ons <br> Onze geschiedenis <br> Missie visie
$Dictionary~~About us,"",À propos de nous,Über uns,Riguardo a noi,Sobre nosotros,O nas,Σχετικά με εμάς,Despre noi,За нас,"",Om oss,"",Over ons
$Dictionary~~Accomodation,"",Hébergement,Unterkunft,Alloggio,Alojamiento,"","",Cazare,Настаняване,"",boende,"",Accomodation
"$Dictionary~~Acres of Diamonds… you’ve read the famous story, or at least had it related to you. A farmer.","","Acres of Diamonds… vous avez lu la célèbre histoire, ou du moins l&#39;aviez-vous racontée. Un fermier.",Acres of Diamonds… Sie haben die berühmte Geschichte gelesen oder hatten zumindest einen Bezug zu Ihnen. Ein Bauer.,"Acres of Diamonds ... hai letto la famosa storia, o almeno ce l&#39;hai legata. Un contadino.","Acres of Diamonds ... has leído la famosa historia, o al menos la has relacionado contigo. Un granjero.","Acres of Diamonds… przeczytałeś słynną historię, a przynajmniej miałeś z nią związek. Rolnik.",Acres of Diamonds ... έχετε διαβάσει τη διάσημη ιστορία ή τουλάχιστον σχετιζόταν με εσάς. Αγρότης.,"Acres of Diamonds ... ai citit faimoasa poveste, sau cel puțin ai avut legătură cu tine. Un fermier.",Акра от диаманти ... прочетохте известната история или поне я свързахте с вас. Фермер.,"","Acres of Diamonds ... du har läst den berömda historien, eller åtminstone haft den relaterad till dig. En bonde.","","Acres of Diamonds… je hebt het beroemde verhaal gelezen, of het had in ieder geval iets met jou te maken. Een boer."
$Dictionary~~Adult,"",Adulte,Erwachsene,Adulto,Adulto,"","",Adult,възрастен,"",Vuxen,"",Volwassen
$Dictionary~~Apr,"",avr,Apr,aprile,abr,"","",Aprilie,април,"",april,"",april
$Dictionary~~Arrival Date,"",Date d&#39;arrivée,Ankunftsdatum,Data d&#39;arrivo,Fecha de llegada,Data przybycia,Ημερομηνία άφιξης,Data sosirii,Дата на пристигане,"",Ankomstdatum,"",Aankomstdatum
"$Dictionary~~As conscious traveling Paupers we must always be concerned about our dear Mother Earth. If you think about it, you travel across her face, and She is the ","","En tant que voyageurs conscients, nous devons toujours nous préoccuper de notre chère Mère Terre. Si vous y réfléchissez, vous traversez son visage et elle est la","Als bewusst reisende Paupers müssen wir uns immer Sorgen um unsere liebe Mutter Erde machen. Wenn du darüber nachdenkst, reist du über ihr Gesicht und sie ist die","Come poveri coscienti che viaggiano, dobbiamo sempre preoccuparci della nostra cara Madre Terra. Se ci pensate, le attraversate il viso e lei è la","Como mendigos viajeros conscientes, siempre debemos preocuparnos por nuestra querida Madre Tierra. Si lo piensas, viajas por su cara, y Ella es la","Jako świadomi podróżujący nędznicy musimy zawsze martwić się o naszą drogą Matkę Ziemię. Jeśli się nad tym zastanowisz, podróżujesz po jej twarzy, a ona jest tą","Ως συνειδητοί Ταξιδιώτες, πρέπει πάντα να ανησυχούμε για τη αγαπητή μας Μητέρα Γη. Εάν το σκέφτεστε, ταξιδεύετε απέναντι στο πρόσωπό της και αυτή είναι η","În calitate de Pașteri călători conștienți, trebuie să fim mereu preocupați de draga noastră mamă Pământ. Dacă te gândești la asta, călătorești pe fața ei, iar ea este","Като съзнателни пътуващи палавници винаги трябва да сме загрижени за нашата скъпа Майка Земя. Ако се замислите, пътувате през нейното лице и тя е тази","",Som medvetna resande Paupers måste vi alltid vara bekymrade över vår kära Moder Jord. Om du tänker på det reser du över hennes ansikte och hon är den,"","Als bewuste reizende Paupers moeten we ons altijd zorgen maken over onze geliefde Moeder Aarde. Als je erover nadenkt, reis je over haar gezicht en zij is de"
$Dictionary~~Aug,"",Août,Aug.,agosto,ago,"","",august,август,"",Augusti,"",augustus
$Dictionary~~Away from monotonous life,"",Loin de la vie monotone,Weg vom eintönigen Leben,Lontano dalla vita monotona,Lejos de la vida monótona,Z dala od monotonne życie,Μακριά από μονότονη ζωή,Departe de viața monotonă,Далеч от монотонен живот,"",Bort från monotont liv,"",Weg van het monotone leven
$Dictionary~~Baby,"",Bébé,Baby,Bambino,Bebé,"","",Bebelus,бебе,"",Bebis,"",Baby
$Dictionary~~Blog,"",Blog,Blog,blog,Blog,Blog,Blog,Blog,Блог,"",blogg,"",blog
$Dictionary~~Blog Details,"",Détails du blog,Blog Details,Dettagli del blog,Detalles del blog,Szczegóły bloga,Λεπτομέρειες ιστολογίου,Detalii despre blog,Подробности за блога,"",Blogginformation,"",Blogdetails
$Dictionary~~Book Now,"",Reserve maintenant,buchen Sie jetzt,Prenota ora,Reservar ahora,Rezerwuj teraz,Κάνετε κράτηση τώρα,Rezerva acum,Резервирайте сега,"",Boka nu,"",Boek nu
$Dictionary~~Book<br> Your Room,"",Livre <br> Ta chambre,Buch <br> Ihr Zimmer,Libro <br> La vostra stanza,Libro <br> Tu cuarto,Książka <br> Twój pokój,Βιβλίο <br> Το δωμάτιό σου,Carte <br> Camera ta,Книга <br> Твоята стая,"",bok <br> Ditt rum,"",Boek <br> Jouw kamer
$Dictionary~~Booking,"",Réservation,Buchung,Prenotazione,Reserva,Rezerwować,Κράτηση,Rezervare,резервация,"",Bokning,"",Booking
$Dictionary~~Child,"",Enfant,Kind,Bambino,Niño,"","",Copil,дете,"",Barn,"",Kind
$Dictionary~~Colorlib,"",Colorlib,Colorlib,Colorlib,Colorlib,Colorlib,Colorlib,Colorlib,Colorlib,"",Colorlib,"",Colorlib
$Dictionary~~Contact,"",Contact,Kontakt,Contatto,Contacto,Kontakt,Επικοινωνία,a lua legatura,контакт,"",Kontakta,"",Contact
$Dictionary~~Creative Outdoor Ads,"",Annonces créatives en plein air,Kreative Außenwerbung,Annunci creativi all&#39;aperto,Anuncios creativos al aire libre,Kreatywne reklamy zewnętrzne,Δημιουργικές υπαίθριες διαφημίσεις,Anunțuri creative în aer liber,Творчески външни реклами,"",Kreativa utomhusannonser,"",Creatieve buitenadvertenties
$Dictionary~~Departure Date,"",Date de départ,Abreisedatum,Data di partenza,Fecha de salida,Data odjazdu,Ημερομηνία αναχώρησης,Data plecării,Дата на заминаване,"",Avgångsdatum,"",Vertrekdatum
$Dictionary~~Double Deluxe Room,"",Chambre Double Deluxe,Deluxe Doppelzimmer,Camera doppia deluxe,Habitación doble de lujo,Pokój Dwuosobowy typu Deluxe,Δίκλινο Deluxe Δωμάτιο,Cameră dublă Deluxe,Двойна стая Делукс,"",Dubbelrum Deluxe,"",Deluxe tweepersoonskamer
$Dictionary~~Economy Double,"",Double Economy,Economy Doppelzimmer,Doppia Economy,Doble Economy,Pokój Dwuosobowy Economy,Οικονομικό Διπλό,Economie dublă,Икономичен двоен,"",Ekonomi dubbel,"",Economy dubbel
$Dictionary~~Elements,"",Elements,Elemeste,Elements,Elements,"","",Elements,Elements,"",Elements,"",Elements
$Dictionary~~Email Address,"",Adresse électronique,E-Mail-Addresse,Indirizzo email,Dirección de correo electrónico,Adres e-mail,Διεύθυνση ηλεκτρονικού ταχυδρομείου,Adresa de email,Имейл адрес,"",E-postadress,"",E-mailadres
$Dictionary~~Fanny Spencer,"",Fanny Spencer,Fanny Spencer,Fanny Spencer,Fanny Spencer,Fanny Spencer,Fanny Spencer,Fanny Spencer,Фани Спенсър,"",Fanny Spencer,"",Fanny Spencer
$Dictionary~~Feature,"",Fonctionnalité,Merkmal,caratteristica,Característica,Cecha,χαρακτηριστικό,Caracteristică,Особеност,"",Funktion,"",Voorzien zijn van
$Dictionary~~Feb,"",fév,Februar,febbraio,feb,"","",februarie,февруари,"",februari,"",februari
"$Dictionary~~For business professionals caught between high OEM price and mediocre print and graphic output, ","","Pour les professionnels, pris entre le prix OEM élevé et une impression médiocre et une impression graphique,","Für Geschäftsleute, die zwischen hohen OEM-Preisen und mittelmäßiger Druck- und Grafikausgabe schwanken,","Per i professionisti interessati a prezzi OEM elevati e stampa e grafica mediocri,","Para los profesionales de negocios atrapados entre el alto precio del OEM y la impresión mediocre y la producción gráfica,","Dla profesjonalistów stojących pomiędzy wysoką ceną OEM a miernym drukiem i wydajnością graficzną,","Για τους επαγγελματίες των επιχειρήσεων που αλιεύονται μεταξύ υψηλής τιμής ΚΑΕ και μέτρια εκτύπωση και γραφική παράδοση,","Pentru profesioniștii din afaceri prins între prețul OEM ridicat și imprimarea mediocră și producția grafică,","За бизнес професионалисти, уловени между висока OEM цена и посредствен печат и графичен изход,","","För affärspersoner fångade mellan högt OEM-pris och medioker tryck och grafisk produktion,","","Voor zakelijke professionals gevangen tussen een hoge OEM-prijs en middelmatige print en grafische uitvoer,"
$Dictionary~~Gallery,"",Galerie,Galerie,Galleria,Galería,Galeria,Εκθεσιακός χώρος,Galerie,галерия,"",Galleri,"",Galerij
$Dictionary~~Get Started,"",Commencer,Loslegen,Iniziare,Empezar,Zaczynać,Ξεκίνα,Incepe,Първи стъпки,"",Komma igång,"",Begin
$Dictionary~~Home,"",Accueil,Zuhause,Casa,Casa,Dom,Σπίτι,Acasă,У дома,"",Hem,"",Huis
$Dictionary~~Honeymoon Suit,"",Costume de lune de miel,Flitterwochen-Anzug,Abito da luna di miele,Traje de luna de miel,Kombinezon dla nowożeńców,Στολή νεόνυμφων,Costum de luna de miere,Костюм за меден месец,"",Bröllopsresa,"",Huwelijksreis Suit
$Dictionary~~Hotel Accomodation,"",Hébergement à l&#39;hôtel,Hotel Unterkunft,Sistemazione in hotel,Alojamiento de hotel,Zakwaterowanie w hotelu,Hotel Accomodation,Cazare la hotel,Настаняване в хотел,"",Hotellboende,"",Hotel accomodatie
"$Dictionary~~If you are looking at blank cassettes on the web, you may be very confused at the<br> difference in price. You may see some for as low as $.17 each.","","Si vous consultez des cassettes vierges sur le Web, vous risquez d&#39;être très confus au <br> différence de prix. Vous en verrez peut-être pour aussi peu que 0,17 $ chacun.","Wenn Sie leere Kassetten im Web betrachten, sind Sie möglicherweise sehr verwirrt über die <br> Preisunterschied. Sie können einige für so niedrig wie $ .17 pro Stück sehen.","Se stai guardando cassette vuote sul web, potresti essere molto confuso su <br> differenza di prezzo. Potresti vederne alcuni a partire da $ .17 ciascuno.","Si está mirando cassettes en blanco en la web, puede estar muy confundido con el <br> diferencia de precio Puede ver algunos por tan solo $ .17 cada uno.","Jeśli patrzysz na puste kasety w sieci, możesz być bardzo zdezorientowany <br> różnica w cenie. Możesz zobaczyć niektóre już za 0,17 $ każdy.","Εάν κοιτάζετε κενές κασέτες στο διαδίκτυο, μπορεί να είστε πολύ συγκεχυμένοι στο <br> διαφορά τιμής. Μπορεί να δείτε μερικά τόσο χαμηλά όπως $ .17 το καθένα.","Dacă te uiți la casete goale de pe web, s-ar putea să fii foarte confuz la adresa <br> diferență de preț. Este posibil să vedeți unele cu prețuri de până la $ 17 fiecare.","Ако търсите празни касети в интернет, може да сте много объркани в <br> разлика в цената. Може да видите някои само за .17 долара.","","Om du tittar på tomma kassetter på webben kan du bli väldigt förvirrad på <br> skillnad i pris. Du kan se några för så låga som $ 0,17 vardera.","","Als u lege cassettes op internet bekijkt, kunt u erg in de war raken over de <br> verschil in prijs. Mogelijk ziet u sommige voor slechts $ 0,17 per stuk."
$Dictionary~~InstaFeed,"",InstaFeed,InstaFeed,InstaFeed,InstaFeed,InstaFeed,InstaFeed,InstaFeed,InstaFeed,"",InstaFeed,"",InstaFeed
